Year,Sony Playstation 3,Xbox360,Sony PSP,Nintendo DS,Nintendo Wii,Sony Playstation Vita,Nintendo 3DS,Nintendo Wii U,Sony Playstation 4,XBox One,Nintendo Switch
2008,10.46,11.16,14.05,29.47,24.09,,,,,,
2009,13.26,10.36,9.92,27.28,21.05,,,,,,
2010,13.83,13.53,9.36,20.55,17.26,,,,,,
2011,14.42,13.95,7.38,8.76,11.49,0.48,12.56,,,,
2012,11.97,10.69,4.22,3.01,5.08,3.69,13.48,2.17,,,
2013,8.26,6.24,2.97,0.82,1.95,3.4,14.31,3.1,4.49,3.08,
2014,3.56,2.6,0.39,,0.52,2.3,9.74,3.64,14.59,7.91,
2015,1.34,0.93,,,0.07,2.68,7.33,3.46,17.51,8.63,
2016,0.52,0.39,,,,2.04,7.59,1.16,17.59,8.37,
2017,0.11,0.06,,,,0.72,6.19,0.1,19.64,8.21,11.85
2018,,,,,,0.22,3.5,,18,6.96,17.05
